Time resolution is 1 ps
Time: 55000 | Sum: 1 | m_data[0]: 0000101 | m_data[1]: 0000000
Time: 65000 | Sum: 3 | m_data[0]: 0000110 | m_data[1]: 0000000
Time: 75000 | Sum: 7 | m_data[0]: 0001001 | m_data[1]: 0000000
Time: 85000 | Sum: 0 | m_data[0]: 0000110 | m_data[1]: 0000001
Time: 95000 | Sum: 4 | m_data[0]: 0000110 | m_data[1]: 0000001
Time: 105000 | Sum: 8 | m_data[0]: 0000000 | m_data[1]: 0000010
Time: 115000 | Sum: 3 | m_data[0]: 0001000 | m_data[1]: 0000010
Time: 125000 | Sum: 0 | m_data[0]: 0000001 | m_data[1]: 0000011
Time: 135000 | Sum: 7 | m_data[0]: 0000001 | m_data[1]: 0000011
Time: 145000 | Sum: 7 | m_data[0]: 0001000 | m_data[1]: 0000011
Time: 155000 | Sum: 7 | m_data[0]: 0000101 | m_data[1]: 0000100
Time: 175000 | Sum: 0 | m_data[0]: 0000101 | m_data[1]: 0000101
Time: 185000 | Sum: 10 | m_data[0]: 0000101 | m_data[1]: 0000101
Time: 195000 | Sum: 2 | m_data[0]: 0000101 | m_data[1]: 0000110
Time: 205000 | Sum: 9 | m_data[0]: 0000111 | m_data[1]: 0000110
Time: 215000 | Sum: 6 | m_data[0]: 0000110 | m_data[1]: 0000111
Time: 225000 | Sum: 9 | m_data[0]: 0000010 | m_data[1]: 0001000
Time: 235000 | Sum: 6 | m_data[0]: 0000001 | m_data[1]: 0001001
Time: 245000 | Sum: 6 | m_data[0]: 0000111 | m_data[1]: 0001001
Time: 255000 | Sum: 4 | m_data[0]: 0000011 | m_data[1]: 0100000
Time: 265000 | Sum: 8 | m_data[0]: 0000111 | m_data[1]: 0100000
Time: 275000 | Sum: 4 | m_data[0]: 0000101 | m_data[1]: 0100000
Time: 285000 | Sum: 10 | m_data[0]: 0001001 | m_data[1]: 0100000
Time: 295000 | Sum: 1 | m_data[0]: 0001001 | m_data[1]: 0100000
Time: 305000 | Sum: 9 | m_data[0]: 0000000 | m_data[1]: 0100000
Time: 315000 | Sum: 0 | m_data[0]: 0001001 | m_data[1]: 0100000
Time: 325000 | Sum: 5 | m_data[0]: 0001001 | m_data[1]: 0100000
Time: 335000 | Sum: 2 | m_data[0]: 0000100 | m_data[1]: 0100000
Time: 345000 | Sum: 4 | m_data[0]: 0000110 | m_data[1]: 0100000
Time: 355000 | Sum: 10 | m_data[0]: 0000000 | m_data[1]: 0100000
Time: 365000 | Sum: 10 | m_data[0]: 0000000 | m_data[1]: 0000000
Time: 375000 | Sum: 10 | m_data[0]: 0000000 | m_data[1]: 0000001
Time: 385000 | Sum: 10 | m_data[0]: 0000000 | m_data[1]: 0000010
Time: 395000 | Sum: 10 | m_data[0]: 0000000 | m_data[1]: 0000011
Time: 405000 | Sum: 10 | m_data[0]: 0000000 | m_data[1]: 0000100
Time: 415000 | Sum: 10 | m_data[0]: 0000000 | m_data[1]: 0000101
Time: 425000 | Sum: 10 | m_data[0]: 0000000 | m_data[1]: 0000110
Time: 435000 | Sum: 10 | m_data[0]: 0000000 | m_data[1]: 0000111
Time: 445000 | Sum: 10 | m_data[0]: 0000000 | m_data[1]: 0001000
Time: 455000 | Sum: 10 | m_data[0]: 0000000 | m_data[1]: 0001001
Time: 465000 | Sum: 10 | m_data[0]: 0000000 | m_data[1]: 0100000
Time: 475000 | Sum: 10 | m_data[0]: 0000000 | m_data[1]: 0100000
Time: 485000 | Sum: 10 | m_data[0]: 0000000 | m_data[1]: 0100000
Time: 495000 | Sum: 10 | m_data[0]: 0000000 | m_data[1]: 0100000
Time: 505000 | Sum: 10 | m_data[0]: 0000000 | m_data[1]: 0100000
Time: 515000 | Sum: 10 | m_data[0]: 0000000 | m_data[1]: 0100000
Time: 525000 | Sum: 10 | m_data[0]: 0000000 | m_data[1]: 0000000
Time: 535000 | Sum: 10 | m_data[0]: 0000000 | m_data[1]: 0000001
Time: 545000 | Sum: 10 | m_data[0]: 0000000 | m_data[1]: 0000010
Time: 555000 | Sum: 10 | m_data[0]: 0000000 | m_data[1]: 0000011
Time: 565000 | Sum: 10 | m_data[0]: 0000000 | m_data[1]: 0000100
Time: 575000 | Sum: 10 | m_data[0]: 0000000 | m_data[1]: 0000101
Time: 585000 | Sum: 10 | m_data[0]: 0000000 | m_data[1]: 0000110
Time: 595000 | Sum: 10 | m_data[0]: 0000000 | m_data[1]: 0000111
Time: 605000 | Sum: 10 | m_data[0]: 0000000 | m_data[1]: 0001000
Time: 615000 | Sum: 10 | m_data[0]: 0000000 | m_data[1]: 0001001
Time: 625000 | Sum: 10 | m_data[0]: 0000000 | m_data[1]: 0100000
Time: 635000 | Sum: 10 | m_data[0]: 0000000 | m_data[1]: 0100000
Time: 645000 | Sum: 10 | m_data[0]: 0000000 | m_data[1]: 0100000
Time: 655000 | Sum: 10 | m_data[0]: 0000000 | m_data[1]: 0100000
Time: 665000 | Sum: 10 | m_data[0]: 0000000 | m_data[1]: 0100000
Time: 675000 | Sum: 10 | m_data[0]: 0000000 | m_data[1]: 0100000
Time: 685000 | Sum: 10 | m_data[0]: 0000000 | m_data[1]: 0000000
Time: 695000 | Sum: 10 | m_data[0]: 0000000 | m_data[1]: 0000001
Time: 705000 | Sum: 10 | m_data[0]: 0000000 | m_data[1]: 0000010
Time: 715000 | Sum: 10 | m_data[0]: 0000000 | m_data[1]: 0000011
Time: 725000 | Sum: 10 | m_data[0]: 0000000 | m_data[1]: 0000100
Time: 735000 | Sum: 10 | m_data[0]: 0000000 | m_data[1]: 0000101
Time: 745000 | Sum: 10 | m_data[0]: 0000000 | m_data[1]: 0000110
Time: 755000 | Sum: 10 | m_data[0]: 0000000 | m_data[1]: 0000111
Time: 765000 | Sum: 10 | m_data[0]: 0000000 | m_data[1]: 0001000
Time: 775000 | Sum: 10 | m_data[0]: 0000000 | m_data[1]: 0001001
